CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
40727,MUS,01412,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Cafaro, Aaron", ,Main,,1,18,0,0,0,18,0,0,0,
40728,MUS,01412,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Tiberi, Emily Rebecca", ,Main,,1,18,0,0,0,18,0,0,0,
40730,MUS,01412,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Plant, Lourin", ,Main,,1,18,0,0,0,18,0,0,0,
40731,MUS,01412,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Natoli, Julia Anna", ,Main,,1,18,0,0,0,18,0,0,0,
40732,MUS,01412,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Stieber, Marian", ,Main,,1,18,0,0,0,18,0,0,0,
40733,MUS,01412, 10,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Tapley, Nicholas Shane", ,Main,,1,18,0,0,0,18,0,0,0,
40735,MUS,01412, 11,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Titus, Kristin Joy", ,Main,,1,18,0,0,0,18,0,0,0,
40736,MUS,01412, 12,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Bryson, Annie C", ,Main,,1,18,0,0,0,18,0,0,0,
40477,MUS,01413,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Betz, Brian W.", ,Main,,2,5,0,0,0,5,0,0,0,
40478,MUS,01413,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Diblasio, Denis", ,Main,,2,5,0,0,0,5,0,0,0,
40479,MUS,01413,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Guida, John J", ,Main,,2,5,0,0,0,5,0,0,0,
40480,MUS,01413,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Mapp, Douglas", ,Main,,2,5,0,0,0,5,0,0,0,
40481,MUS,01413,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Monaghan, Daniel J.", ,Main,,2,5,0,0,0,5,0,0,0,
40482,MUS,01413,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Schneider, Dean P", ,Main,,2,5,0,0,0,5,0,0,0,
40483,MUS,01413,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
",STAFF, ,Main,,2,5,0,0,0,5,0,0,0,
40484,MUS,01413,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Sciolla, Anne Louise", ,Main,,2,5,0,0,0,5,0,0,0,
40485,MUS,01413,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 7Jazz majors only.
","Barnes, Jonathan", ,Main,,2,5,0,0,0,5,0,0,0,
40486,MUS,01414,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Betz, Brian W.", ,Main,,2,5,0,0,0,5,0,0,0,
40487,MUS,01414,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Diblasio, Denis", ,Main,,2,5,0,0,0,5,0,0,0,
40489,MUS,01414,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Guida, John J", ,Main,,2,5,0,0,0,5,0,0,0,
40490,MUS,01414,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Mapp, Douglas", ,Main,,2,5,0,0,0,5,0,0,0,
40492,MUS,01414,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Monaghan, Daniel J.", ,Main,,2,5,0,0,0,5,0,0,0,
40493,MUS,01414,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Schneider, Dean P", ,Main,,2,5,0,0,0,5,0,0,0,
40495,MUS,01414,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
",STAFF, ,Main,,2,5,0,0,0,5,0,0,0,
40496,MUS,01414,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Sciolla, Anne Louise", ,Main,,2,5,0,0,0,5,0,0,0,
40497,MUS,01414,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"JAZZ IMPROVISATION 8Jazz majors only.
","Barnes, Jonathan", ,Main,,2,5,0,0,0,5,0,0,0,
40503,MUS,01422,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Trumpet
","Appleby-Wineberg, Bryan Kent", ,Main,,3,5,0,0,0,5,0,0,0,
40505,MUS,01422,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Cello
","Atanasiu, George", ,Main,,3,5,0,0,0,5,0,0,0,
40506,MUS,01422,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Violin/Viola
","Atanasiu, Lenuta C.", ,Main,,3,5,0,0,0,5,0,0,0,
40507,MUS,01422,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"PERFORM APPL INSTRUMENT 7Music majors, minors, and Music Industry students only.Tuba
","Brown, Brian E", ,Main,,3,5,0,0,0,5,0,0,0,
